Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Old Solution Notes),Custom field (Acceptance Criteria),Custom field (Additional Information),Custom field (Additional Information 2),Custom field (Additional Information 3),Custom field (Assumptions),Custom field (Assumptions),Custom field (Assumptions),Custom field (Blocked 'Other'),Custom field (Blocked Date),Custom field (Blocked Reason),Custom field (Blockers),Custom field (Bug Source),Custom field (Business Capability),Custom field (Business Owner),Custom field (Business Value),Custom field (Calor Approved By),Custom field (Category),Custom field (Complexity),Custom field (Development),Custom field (Discovered in build version:),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External Idenitifier),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (FRD Ref),Custom field (Fixed in Build Version),Custom field (Flagged),Custom field (Flagged),Custom field (Issue color),Custom field (MP Comments),Custom field (MoSCoW),Custom field (OOTB?),Custom field (Original Scope?),Custom field (Pre-Sales Notes),Custom field (Process),Custom field (Product),Custom field (Project Manager Actual),Custom field (Project Manager Estimate),Custom field (QA Actual),Custom field (QA Estimate),Custom field (Rank),Custom field (Reason(s) for Defect),Custom field (Record Types),Custom field (Release Manager Actual),Custom field (Release Manager Estimate),Custom field (Release Status),Custom field (Request Type),Custom field (Request participants),Custom field (Resource Type),Custom field (Role),Satisfaction rating,Custom field (Satisfaction Rating),Custom field (Side Notes),Custom field (Side Notes),Custom field (SoW Reference),Custom field (Solution Notes),Custom field (Solution Notes),Custom field (Source/Event),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Sprint Dependencies),Custom field (Start date),Custom field (Story Owner),Custom field (Story Points),Custom field (Story point estimate),Custom field (Summary),Custom field (Target Resolution Date),Custom field (Total Actual),Custom field (Total Estimate),Custom field (Unblocked Date),Custom field (Updated Description),Custom field (Updated Summary),Custom field (Work Type),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
[Duplicate]: Contract Automation: Docusign,CG-308,48402,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,24/Nov/17 1:04 PM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,,,0,,,"As a Sales User I would like Docusign,  Drawloop or the app to update in the following order:
* Activated By ID : On contract approval , populate with user that sent the contract
* Activated Date: On contract approval , populate with date
* Customer Signed By ID: Populate with the contact that has signed
* Customer Signed Date: Populate with the date when contract has been signed by the customer
* Company Signed By ID: Populate with the Calor Agent that has signed the contract from Calor's side
* Company Signed Date : Populate with the date when contract has been sent
so that I can have the legal information required in the system and Calor always signs last driving a consistent process across all contracts.",,jstreet,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For Contracts with Distribution Channel Email:

1. When a contract status is changed to Approved, is the Activated By ID  populated with user that sent the contract?
2. When a contract status is changed to Approved is the Activated Date populate with today's date?
3. When the contract status is updated to Sent is the Company Signed By ID populated with the Sales rep that has signed the contract from calor's side?
4. When the contract status is updated to Sent  is the Company Signed Date populated with today's date?
5. When a contract status is changed to Signed is the Customer Signed By ID populated with the contact that has signed?
6. When a contract status is changed to Signed is the Customer Signed Date populated with the date when contract has been signed?",,,,,,"1. Calor will always complete it's final signature after the customer.
2. Most contracts will be done via DocuSign or Drawloop however there still needs to be an option for manual sending due to the customer base.",,,,,,,,,,,,{},,,CG-4,,,,,,,,,,,,,Must,,,,,,,,,,1|hzxat3:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,2017-12-13 11:54:58.191,28/Nov/17 12:34 PM;stephanie.stylianou;[~Jane.McCluskey]: Please review and approve,13/Dec/17 11:54 AM;Jenni.Street;Updated following conversation with Jane where it was agreed that as Legal have concerned about contract amendments we should always sign last.  Although customers are not able to amend via methods such as DocuSign by doing it this way there is a consistent process across the board which helps to manage expectations and training requirements.,20/Dec/17 3:06 PM;stephanie.stylianou;[~Jane.McCluskey]: Acceptance criteria updated based on new process defined,20/Dec/17 3:40 PM;stephanie.stylianou;Duplicate of CG-139 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[DUPLICATE] Initial Data loading,CG-309,48403,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,vincent.spehner,vincent.spehner,24/Nov/17 1:38 PM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,,,0,,,As a sales user i would like all my records to be loaded in a seamless way on my device the first time I Log in so that I can work offline without worrying about the available data.,,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TBD,,,,,,,,,,,,,,,,,,{},,,CG-8,,,,,,,,,Unapproved,,,,Must,,,,,,,,,,1|hzxpw7:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NON-MP] INT15: MDM -> SFDC: Stock Update,CG-310,48421,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,vincent.spehner,vincent.spehner,28/Nov/17 11:08 AM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,,,0,integration,,"As a sales user, I would like to see the stock balance updated once a day on each Asset of my customers so that I can plan visits and discuss stock consumption with them.",,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Can I see stock balance on Asset?
2. Is the stock balance updated every day?",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx6if:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INT16: SFDC -> MDM: Delivery Point Creation,CG-311,48423,Story,In Progress,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,vincent.spehner,vincent.spehner,vincent.spehner,28/Nov/17 11:16 AM,19/Mar/18 3:40 PM,24/Sep/19 12:21 PM,,,0,integration,,"As a sales user, I would like to be able to create a new Delivery Point for an existing Account so that Gas can be delivered to a new location",,stephanie.stylianou,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,28800,28800,,0%,28800,28800,,,,,,CG-237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a CRM user: 
 1. Where there is an existing customer, am I able to create a new delivery point to be linked to the existing account in ERP?
 2. Am I provided with the relevant updated data from ERP inside CRM (E1 Number)? 

 As a integration developer: 
 1. Am I provided with the contract ID to a specified end point as specified in the integration functionality spec? ",,,,,,"1. Integration functional specification is located on Calor Sharepoint (CRM Phase 1)
2. Retrieval queries will be provided by makepositive as well as what fields we need to write back the ERP reference data.
3. Duplicate records are dealt with via standard CRM functionality.
4. Any new delivery point passed to ERP will be assigned to a contract.
5. First Order related to that new DP will be created back in SF based on the information captured on the Opportunity",,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,Must,,,,,,,,,,1|hzxbcv:,,,,,,,,,,,,,,,,,,Sprint 6,Out of Scope,,,,,,,,,,,,,,,,,,,2018-02-19 15:13:05.63,"19/Feb/18 3:13 PM;stephanie.stylianou;[~vincent.spehner]: can you provide trigger criteria, Endpoint URL, whether we are sending a session ID and fields we are sending?",28/Feb/18 4:00 PM;vincent.spehner;[~stephanie.stylianou] should that integration cover the new DP creation for contract amendment only or any contract unrelated DP Creation? From what I can read on https://makepositive.atlassian.net/browse/CG-80 new DP created in SF must all have a related contract,"28/Feb/18 4:33 PM;stephanie.stylianou;[~vincent.spehner]: I would think so yes. Same trigger criteria can apply, i.e. Status =  active and Contract is not blank",28/Feb/18 4:48 PM;stephanie.stylianou;It needs to have a Contract to move to status active [~vincent.spehner],"05/Mar/18 4:21 PM;vincent.spehner;As a consequence, I would like to cancel this User Story as INT2 is already covering that scenario. When a new contract is signed for an existing customer, new DPs will be linked, through subscriptions to the Contract. As DPs cant be created without a Contract, they will always be handled by INT2. [~Jenni.Street] could you confirm?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NON-MP] INT17: MDM -> SFDC: Account Creation,CG-312,48424,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,vincent.spehner,vincent.spehner,28/Nov/17 11:24 AM,03/May/18 5:40 PM,24/Sep/19 12:21 PM,,,0,integration,,"As a sales user, I would like Billing Account created in E1 to be available in Salesforce so that I can transact with it without having to create duplicates",,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Can I see E1 created Billing Account?
2. Is the Primary Contact setup as in E1?
3. Are the Group and Account relation setup as in E1?",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx6hz:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NON-MP] INT18: MDM -> SFDC: Invoice creation,CG-313,48425,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,vincent.spehner,vincent.spehner,28/Nov/17 11:27 AM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,,,0,integration,,"As a sales user, I would like last 6month Invoices created in E1 be listed in Salesforce so that I can access the Invoice header and line and discuss previous invoices with my customer. ",,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Can I see Invoices on Account?
2. When I open an Invoice, can I see Invoice header with Amount, Date, Status?
3. When I open an Invoice, can I see details line the Product Item, number, description, quantity, price?",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx6in:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[NON-MP] INT19: MDM -> SFDC: Delivery Point Creation,CG-314,48426,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,vincent.spehner,vincent.spehner,28/Nov/17 11:50 AM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,,,0,integration,,"As a sales user, I would like to find in Salesforce new Delivery Point created in E1 for an existing Account so that Gas can be delivered to a new location without the risk of creating duplicated",,vincent.spehner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1. Can I create a DP for an existing Account in E1 ?
2. Is the DP created in Salesforce for the matching Billing Account?
",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzx6iv:,,,,,,,,,,,,,,,,,,Out of Scope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact Account Holder flag needs to be locked,CG-315,48434,Story,Calor QA,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,Les.Mason,stephanie.stylianou,stephanie.stylianou,28/Nov/17 2:46 PM,20/Mar/18 11:46 AM,24/Sep/19 12:21 PM,,,0,,,As a Sales User I would like the Account Holder against the account to be locked and not a relationship that can be changed so that I can ensure the relevant control is in place when a change of account holder is required,,alexey.ovriakh,jack.holliday,jstreet,kunal.narula,stephanie.stylianou,,,,,"Create picklist value for Role multi-select custom field
Create validaiton rule
Sanity testing 
Create custom setting 
Solution updated in confluence 
Commit and create pull request ;05/Feb/18 11:34 AM;jack.holliday;10800","Created Test Cases in Zephyr.
Executed the test cases in Sprint 5 Execution Cycle and raised a defect - CG-933.;12/Feb/18 12:37 PM;kunal.narula;14400",Smoke testing in UAT.;16/Feb/18 11:15 AM;kunal.narula;7200,"Smoke testing in SIT environment from all the user profiles 
Tested it for Customer and Connection accounts.;08/Mar/18 6:38 AM;kunal.narula;7200",,,,,,,,,,,28800,0,39600,137%,28800,0,39600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-927,CG-933,CG-931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a User assigned to the Sales User, Customer Support or Control User Profile:
1. Can I view who my account holder(s) are against the account?
2. Can I view whether a contact is an account holder from the contact record?
3. While the account is in prospect status, am I allowed to change the relationship role if the relationship is account holder? (subject to profile restrictions) 
3b. If the account is active, am I prevented from changing the relationship role if the relationship is account holder?
4. Am I allowed to change the relationship role if the relationship is not account holder?

As a User assigned to the System Administrator User Profile:
1. Can I view who my account holder(s) are against the account?
2. Can I view whether a contact is an account holder from the contact record?
3. Am I allowed to change the relationship role if the relationship is account holder?
4. Am I allowed to change the relationship role if the relationship is not account holder?",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,,,,,Must,,,,,,,,,,1|hzxbaf:,,,,,,,,,,,,,,,"Roles are wrong in IC sandbox, please update
Implement validation rule on accountcontactrelation object with exception to sys admin
",,,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,,,,,,5.0,,,,,,,,,,2017-12-22 10:35:49.59,22/Dec/17 10:35 AM;Jenni.Street;[~stephanie.stylianou] Is the account holder the Calor person i.e. Salesperson or a customer?,22/Dec/17 10:58 AM;stephanie.stylianou;[~Jenni.Street] Its the role on the Account-contact relationship. (customer) ,"12/Feb/18 12:14 PM;kunal.narula;Hello [~jack.holliday] Control User Profile don't have Edit permission and cant make above changes (like changing the role of a contact). Can we please update the Acceptance Criteria or include this point in the assumptions.

cc [~stephanie.stylianou] [~mayur.vats]

","12/Feb/18 12:38 PM;kunal.narula;(flag) Flag added

CG-933.","12/Feb/18 12:59 PM;jack.holliday;[~kunal.narula] updated the acceptance criteria: 
3. While the account is in prospect status, am I allowed to change the relationship role if the relationship is account holder? {color:red}(subject to profile restrictions) {color}","12/Feb/18 2:57 PM;kunal.narula;Thanks [~jack.holliday] This US is QA verified. [~alexey.ovriakh] FYI.

cc [~stephanie.stylianou][~mayur.vats]","16/Feb/18 9:32 AM;kunal.narula;This US has been QA verified for all the profiles in UAT. For connection record type it is failing. Please refer bug - CG-933.

cc [~mayur.vats]","19/Feb/18 5:57 AM;kunal.narula;This US has been verified for Connection record type too.

cc [~mayur.vats]",22/Feb/18 1:29 AM;alexey.ovriakh;[~mayur.vats] deployed to UAT - ready for smoke testing,"08/Mar/18 6:37 AM;kunal.narula;This US has been tested in SIT environment from all the user profiles.

cc [~mayur.vats]",,,,,,,,,,,,,,,,,,,,,,,,,,,
Account Setup: Connection Record Type,CG-316,48438,Story,Calor QA,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,Les.Mason,stephanie.stylianou,stephanie.stylianou,28/Nov/17 5:08 PM,20/Mar/18 11:46 AM,24/Sep/19 12:21 PM,,,0,,,"As a salesforce user I would like to be able to create, update and delete connection records where I will manage Installers, competitors and other third parties as appropriate to my user role and navigate to my customer and be presented with all the relevant information within a few clicks so that at a glance I can see all important information.",,alexey.ovriakh,danyial.gilani,katherine.bloomfield,kunal.narula,stephanie.stylianou,,,,,;14/Feb/18 5:05 AM;kunal.narula;18000,,,,,,,,,,,,,,,0,18000,,,0,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-503,CG-527,CG-933,CG-980,CG-1249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user assigned to the Sales user profile: 
1. Is the account information accessible on the page layout when I am creating a new account or viewing/editing an existing account. 
2. Can I see the lists of related notes associated with the account 
3. Can I see the lists of related activities associated with the account 
4. Can I update those fields that are available to my user profile. 
5. Am I prevented from saving the record without completing the mandatory account fields 
6. Can I proceed with saving the record when I complete the mandatory fields 
7. If I remove the value from a mandatory field am I prevented from saving the record 
8. Can i proceed with saving a record when I edit the value in a mandatory field 
9. Am I prevented from deleting an account record 
10. Can I view all customer types without restriction 
11. Can i see the lists of related contacts associated with the account? 

As a user assigned to the Control User profile 
1. Is the account information accessible on the page layout when I am viewing an existing account. 
2. Can I view account hierarchy 
4. Can I see the lists of related notes associated with the account 
5. Can I see the lists of related activities associated with the account 
6. Am I prevented from creating an account record 
7. Am I prevented from editing the account record 
8. Am I prevented from deleting an account record 
9. Can I view all customer types without restriction 
10. Can i see the lists of related contacts associated with the account? 

As a System Administrator 
1. Is the account information accessible on the page layout when I am creating a new account or viewing/editing an existing account. 
2. Can I see the lists of related notes associated with the account 
3. Can I see the lists of related activities associated with the account 
4. Can I update all fields . 
5. Am I prevented from saving the record without completing the mandatory account fields 
6. Can I proceed with saving the record when I complete the mandatory fields 
7. If I remove the value from a mandatory field am I prevented from saving the record 
8. Can i proceed with saving a record when I edit the value in a mandatory field 
9. Can I delete an account record 
10. Can I view all customer types without restriction 
11. Can i see the lists of related contacts associated with the account? 

As a user assigned to Customer Support Profile: 
1. Is the account information accessible on the page layout when I am creating a new account or viewing/editing an existing account. 
2. Can I see the lists of related notes associated with the account 
3. Can I see the lists of related activities associated with the account 
4. Can I update those fields that are available to my user profile. 
5. Am I prevented from saving the record without completing the mandatory account fields 
6. Can I proceed with saving the record when I complete the mandatory fields 
7. If I remove the value from a mandatory field am I prevented from saving the record 
8. Can i proceed with saving a record when I edit the value in a mandatory field 
9. Am I prevented from deleting an account record 
10. Can I view all customer types without restriction 
11. Can i see the lists of related contacts associated with the account? 
",,,,,,"1. Calor to collaborate with makepositive to define the page layout 
2. Browser version only
",,,,,,,,,,,,{},,,CG-3,,,,,,,,,,,,,,,,,,,,,,,1|hzxptb:,,,,,,,,,,,,,,,,,,Sprint 2,Sprint 3,Sprint 4,Sprint 5,Sprint 6,Sprint 7,Sprint 8,,,,,,,,,,,,,,2017-12-04 19:18:31.318,04/Dec/17 5:06 PM;stephanie.stylianou;[~danyial.gilani] [~katherine.bloomfield]: Don't remember who it was but has this been delivered? ,04/Dec/17 7:18 PM;removed61;[~stephanie.stylianou] I've built this in the IC sandbox. We will be doing the commits tomorrow - has the requirement changed now? I remember you saying it might do. ,"04/Dec/17 10:06 PM;stephanie.stylianou;[~danyial.gilani] not yet, just going through the user stories for a presentation tomorrow. They might decide on the name change, I'll let you know if we have any feedback. For correct tracking of progress this might need to be moved to Sprint 1 ",11/Dec/17 12:05 PM;alexey.ovriakh;[~katherine.bloomfield] would you be able to specify what elements need to be deployed?,"11/Dec/17 1:12 PM;katherine.bloomfield;[~alexey.ovriakh] See CG-40
","08/Jan/18 9:04 PM;kunal.narula;Hello [~katherine.bloomfield] [~stephanie.stylianou] [~mayur.vats] I have raised a bug CG-503 for this US.

",09/Jan/18 1:32 PM;kunal.narula;++ [~jack.holliday] [~danyial.gilani] as [~katherine.bloomfield] is on training this week. ,"15/Jan/18 4:43 PM;kunal.narula;(flagoff) Flag removed

Bug CG-503 is resolved.",15/Jan/18 4:46 PM;kunal.narula;This US is working as expected. Moving it to BAT. [~stephanie.stylianou] [~alexey.ovriakh] [~jack.holliday] [~mayur.vats] FYI!,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partner Provided leads,CG-317,48466,Story,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,stephanie.stylianou,stephanie.stylianou,30/Nov/17 10:29 AM,19/Jul/18 11:35 AM,24/Sep/19 12:21 PM,,,0,,,As a Sales Manager I would like to be able to report on the leads that were provided by Partner Referral and who those partners are so that I can ensure we nurture the relationships with these influencers and attribute them credit,,jstreet,stephanie.stylianou,,,,,,,,,,,,,,,,,,,,,,57600,57600,,0%,57600,57600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user assigned to the Sales User, Customer Support or System Administrator profile:
1. Is there a link I can access to submit leads to the CRM system?
2. Does the link populate a form for me to complete?
3. Does the form have mandatory fields for the following items:
a) Market Sector;
b) Street;
c) City;
d) County;
e) Country;
f) Post Code
4. If I select a commercial market sector, does the form require me to complete the company name field before saving?
4b. If I select a domestic market sector, does the form require me to complete the Salutation, First Name and Last Name before saving?
5. Does the form allow me to complete some additional fields to provide extra information where I can as follows:
a) Competitor Name;
b) Email;
c) Fax;
d) Mobile Phone;
e) Phone;
f) Current Product;
g) Website.
6. Am I prevented from progressing the form if mandatory fields are not completed?
7. On form submitted, is the lead pushed into salesforce?
8. If lead submission fails, is the default lead creator notified?
8b. Does this notification also go to the IT systems team?
9. Are the leads created excluded from validations through an exception granted to their creator?
10.  Is the Lead Source populated as Partner Referral by default?
11. When I try to edit a lead created via this process am I prompted to complete the lead but cannot adjust the Referred By field?
12. When I lookup the Referred By , is my selection restricted to Accounts of type: Connection?
13. When I try to edit a lead created via this process am I prompted to satisfy all other validations ?
14. When the lead is converted, is that information mapped into the respective opportunity fields?

As a partner: 
1. Is there a link hosted in Network Plus I can access to submit leads?
2. Do leads created via that form default to Lead Source: Partner Referral?",,,,,,"1.Makepositive will provide HTML generic code without branding to the Calor webmaster 
2. The form will be hosted in a hidden URL in Calor website 
3. The form will be branded by Calor webmaster 
4. A reCAPTCHA API Key Pair should be provided by Calor for spam filtering 
5. Calor to define the URL redirect site 
6. The Partner relationship will be manually populated - no automation was scoped for this
7. User story will be tested by mp using HTML provided to Calor rather than actual link to remove Calor dependency
WARNING: web-2-lead form POST URLs are different per instance. Make sure the various form POST URL and ""token"" are documented in Confluence. ",,,,,,,,,,,,{},,,CG-3,,,,,,,,,Impediment,,,,Should,,,,,,,,,,1|hzui5b:,,,,,,,,,,,,,,,,,,Mobile Sprint 4,,,,,,,,,,8.0,,,,,,,,,,2018-01-26 09:47:00.199,"14/Dec/17 3:01 PM;stephanie.stylianou;1.Makepositive will provide HTML generic code without branding to the Calor webmaster 
2. The form will be hosted in a hidden URL in Calor website 
3. The form will be branded by Calor webmaster 
4. An reCAPTCHA API Key Pair should be provided by Calor for spam filtering 
5. Calor to define the URL redirect site 
6. Used to replace Bullseye 
",20/Dec/17 11:16 AM;stephanie.stylianou;[~Jane.McCluskey] - please review MoSCoW priority set and acceptance criteria,26/Jan/18 9:47 AM;Jenni.Street;[~KPackman] Please can we get the reCAPTCHA API key from the digital marketing team? ,02/Mar/18 11:20 AM;stephanie.stylianou;Under technical solution review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
